Wavelength Flux
1.194999963045120239e-01 8.861500769853591919e-03
1.204999983310699463e-01 6.944999843835830688e-02
1.215000003576278687e-01 6.080998778343200684e-01
1.225000023841857910e-01 1.437000036239624023e-01
1.234999969601631165e-01 6.269500125199556351e-03
1.244999989867210388e-01 4.075500182807445526e-03
1.254999935626983643e-01 3.378000110387802124e-03
1.264999955892562866e-01 4.162500146776437759e-03
1.274999976158142090e-01 2.414999995380640030e-03
1.284999996423721313e-01 1.954500097781419754e-03
1.295000016689300537e-01 4.668000154197216034e-03
1.305000036954879761e-01 1.381000038236379623e-02
1.315000057220458984e-01 4.480999894440174103e-03
1.324999928474426270e-01 4.649499896913766861e-03
1.334999948740005493e-01 1.930500008165836334e-02
1.344999969005584717e-01 5.063000135123729706e-03
1.354999989271163940e-01 4.196499940007925034e-03
1.365000009536743164e-01 3.432499943301081657e-03
1.375000029802322388e-01 3.225999884307384491e-03
1.385000050067901611e-01 4.494499880820512772e-03
1.395000070333480835e-01 8.898999541997909546e-03
1.404999941587448120e-01 6.819500122219324112e-03
1.414999961853027344e-01 4.612499848008155823e-03
1.424999982118606567e-01 5.121000111103057861e-03
1.435000002384185791e-01 5.578999873250722885e-03
1.445000022649765015e-01 5.570500157773494720e-03
1.455000042915344238e-01 6.039499770849943161e-03
1.465000063180923462e-01 7.693499792367219925e-03
1.474999934434890747e-01 9.194499813020229340e-03
1.484999954700469971e-01 8.851000107824802399e-03
1.494999974966049194e-01 8.617000654339790344e-03
1.504999995231628418e-01 9.397000074386596680e-03
1.515000015497207642e-01 1.000650040805339813e-02
1.525000035762786865e-01 1.268499996513128281e-02
1.535000056028366089e-01 1.412499975413084030e-02
1.544999927282333374e-01 2.262499928474426270e-02
1.554999947547912598e-01 2.343500033020973206e-02
1.564999967813491821e-01 1.981999911367893219e-02
1.574999988079071045e-01 1.843499951064586639e-02
1.585000008344650269e-01 1.794500090181827545e-02
1.595000028610229492e-01 1.871000044047832489e-02
1.605000048875808716e-01 2.070000022649765015e-02
1.615000069141387939e-01 2.381500042974948883e-02
1.624999940395355225e-01 2.703000046312808990e-02
1.634999960660934448e-01 3.087499924004077911e-02
1.644999980926513672e-01 3.214500099420547485e-02
1.655000001192092896e-01 4.616000130772590637e-02
1.665000021457672119e-01 4.273999854922294617e-02
1.675000041723251343e-01 4.141499847173690796e-02
1.685000061988830566e-01 4.840499907732009888e-02
1.694999933242797852e-01 6.238999962806701660e-02
1.704999953508377075e-01 7.017499953508377075e-02
1.714999973773956299e-01 7.330500334501266479e-02
1.724999994039535522e-01 7.720000296831130981e-02
1.735000014305114746e-01 8.125499635934829712e-02
1.745000034570693970e-01 9.635499864816665649e-02
1.755000054836273193e-01 1.146999970078468323e-01
1.764999926090240479e-01 1.298999935388565063e-01
1.774999946355819702e-01 1.497000008821487427e-01
1.784999966621398926e-01 1.645999997854232788e-01
1.794999986886978149e-01 1.685000061988830566e-01
1.805000007152557373e-01 1.960500031709671021e-01
1.815000027418136597e-01 2.398999929428100586e-01
1.825000047683715820e-01 2.396499961614608765e-01
1.835000067949295044e-01 2.391999959945678711e-01
1.844999939203262329e-01 2.193499952554702759e-01
1.854999959468841553e-01 2.453500032424926758e-01
1.864999979734420776e-01 2.870000004768371582e-01
1.875000000000000000e-01 3.197999894618988037e-01
1.885000020265579224e-01 3.494499921798706055e-01
1.895000040531158447e-01 3.793500065803527832e-01
1.905000060796737671e-01 3.992500007152557373e-01
1.914999932050704956e-01 4.422000050544738770e-01
1.924999952316284180e-01 4.377500116825103760e-01
1.934999972581863403e-01 4.032000005245208740e-01
1.944999992847442627e-01 5.530999898910522461e-01
1.955000013113021851e-01 5.768499970436096191e-01
1.965000033378601074e-01 6.370499730110168457e-01
1.975000053644180298e-01 6.571499705314636230e-01
1.985000073909759521e-01 6.555500030517578125e-01
1.994999945163726807e-01 7.052000164985656738e-01
2.005649060010910034e-01 7.756500244140625000e-01
2.015650719404220581e-01 8.497499823570251465e-01
2.025652527809143066e-01 8.730999827384948730e-01
2.035654485225677490e-01 9.743000268936157227e-01
2.045656293630599976e-01 1.083500027656555176e+00
2.055657953023910522e-01 1.116000056266784668e+00
2.065659910440444946e-01 1.172000050544738770e+00
2.075661867856979370e-01 1.340999960899353027e+00
2.085663825273513794e-01 1.585000038146972656e+00
2.095665782690048218e-01 2.233000040054321289e+00
2.105667740106582642e-01 2.916500091552734375e+00
2.115669697523117065e-01 3.500999927520751953e+00
2.125671654939651489e-01 3.270499944686889648e+00
2.135673612356185913e-01 3.446500062942504883e+00
2.145675569772720337e-01 4.172500133514404297e+00
2.155677676200866699e-01 3.771500110626220703e+00
2.165679633617401123e-01 3.363500118255615234e+00
2.175681591033935547e-01 3.666500091552734375e+00
2.185683846473693848e-01 4.621500015258789062e+00
2.195685803890228271e-01 4.888999938964843750e+00
2.205688059329986572e-01 4.933000087738037109e+00
2.215689867734909058e-01 4.119500160217285156e+00
2.225692123174667358e-01 5.157001018524169922e+00
2.235694378614425659e-01 6.540500164031982422e+00
2.245696485042572021e-01 6.125500202178955078e+00
2.255698442459106445e-01 5.445000171661376953e+00
2.265700697898864746e-01 4.110000133514404297e+00
2.275702953338623047e-01 4.133999824523925781e+00
2.285705059766769409e-01 5.396500110626220703e+00
2.295707315206527710e-01 4.954999923706054688e+00
2.305709421634674072e-01 5.415999889373779297e+00
2.315711677074432373e-01 5.295499801635742188e+00
2.325713932514190674e-01 5.527500152587890625e+00
2.335716038942337036e-01 4.663499832153320312e+00
2.345718294382095337e-01 4.055500030517578125e+00
2.355720400810241699e-01 5.335000038146972656e+00
2.365722656250000000e-01 5.054999828338623047e+00
