Wavelength Flux
9.004520000000000579e-02 1.283794898594139630e-17
9.013540000000000441e-02 1.737429845504958090e-17
9.022580000000000877e-02 1.845711592718967157e-17
9.031630000000000214e-02 1.890829001177814477e-17
9.040679999999999550e-02 1.934305779609724122e-17
9.049740000000000562e-02 1.987626338203259818e-17
9.058819999999999373e-02 2.041767129092203096e-17
9.067899999999999572e-02 2.093447057658801117e-17
9.076990000000000058e-02 2.146767616252336813e-17
9.086090000000000833e-02 2.200908572577402601e-17
9.095200000000000506e-02 2.255869761197875972e-17
9.104310000000000180e-02 2.313291812140694600e-17
9.113440000000000429e-02 2.374815520868918671e-17
9.122580000000000966e-02 2.458487817678862611e-17
9.131720000000000115e-02 2.689816982349319820e-17
9.140879999999999839e-02 4.886624062577439489e-17
9.150039999999999563e-02 3.770173559079840727e-16
9.159210000000000962e-02 2.438800131624157402e-15
9.168400000000000161e-02 7.099017012256181314e-15
9.177590000000000747e-02 1.194380491319375903e-14
9.186790000000000234e-02 1.593054166229915247e-14
9.196000000000000008e-02 2.010595161227365230e-14
9.205220000000000069e-02 2.304268429710598642e-14
9.214450000000000418e-02 2.719348285776506530e-14
9.223680000000000767e-02 3.008099615209834654e-14
9.232930000000000303e-02 3.243530390020094023e-14
9.242190000000000127e-02 4.768498353883814100e-14
9.251449999999999951e-02 4.839045695181551365e-14
9.260730000000000350e-02 3.750486046402191909e-14
9.270009999999999362e-02 5.238539636798211774e-14
9.279300000000000048e-02 7.779879035918133012e-14
9.288599999999999635e-02 8.062888329002024235e-14
9.297919999999999796e-02 5.851315796907147204e-14
9.307239999999999958e-02 4.141776643331283869e-14
9.316570000000000407e-02 6.247528671699323355e-14
9.325909999999999755e-02 9.737153981335608388e-14
9.335259999999999392e-02 1.193560089087983278e-13
9.344619999999999316e-02 1.260005825804572099e-13
9.353980000000000627e-02 1.173052269470148401e-13
9.363359999999999739e-02 9.007072567174603805e-14
9.372749999999999138e-02 5.547798819730692665e-14
9.382139999999999924e-02 5.519087790950560901e-14
9.391549999999999898e-02 9.548481119279680907e-14
9.400970000000000160e-02 1.333013967220672558e-13
9.410390000000000421e-02 1.545475851244190735e-13
9.419819999999999582e-02 1.675085715751797877e-13
9.429270000000000707e-02 1.746453323755656206e-13
9.438719999999999055e-02 1.769422146779761618e-13
9.448180000000000467e-02 1.677546719158068411e-13
9.457649999999999391e-02 1.611921452435507995e-13
9.467140000000000277e-02 1.646374686971666113e-13
9.476629999999999776e-02 1.490514661564926180e-13
9.486130000000000950e-02 1.040981333793634944e-13
