Wavelength Flux
2.914097412109374896e-01 4.658499944847939445e-15
2.916841796999999903e-01 2.729399983409925949e-15
2.919585937999999992e-01 9.777800212562321597e-15
2.922330321999999647e-01 1.021799984711859247e-14
2.925074706999999941e-01 5.576399903634270822e-15
2.927819092000000234e-01 -3.023199925670421243e-15
2.930563476999999972e-01 -3.874700124688540762e-15
2.933307860999999628e-01 -2.348100055390403736e-15
2.936052245999999921e-01 -4.651099841504252250e-15
2.938796631000000215e-01 4.255499879752709311e-15
2.941541015999999953e-01 6.583699954838557328e-15
2.944285644999999896e-01 -2.062999988531157361e-15
2.947030272999999756e-01 2.435799940924982671e-15
2.949774658000000049e-01 2.024100000428503618e-15
2.952519286999999992e-01 -4.422800004142866340e-16
2.955263915999999935e-01 -4.537800079204806596e-16
2.958008544999999878e-01 -1.029700049252663292e-15
2.960753173999999821e-01 2.630000031774923364e-15
2.963497803000000319e-01 -3.185199900211812098e-16
2.966242675999999912e-01 -2.401199968518624587e-16
2.968987304999999854e-01 3.223599874177789787e-16
2.971731933999999797e-01 8.959100305635440790e-16
2.974476806999999945e-01 4.905699840119647371e-16
2.977221680000000092e-01 1.359899961871991261e-15
2.979966553000000240e-01 2.840599951033128193e-15
2.982711182000000183e-01 -8.978999888893302484e-17
2.985456055000000331e-01 -8.766100142834404221e-16
2.988200928000000478e-01 1.978999942910185210e-15
2.990946045000000275e-01 1.251600023301950929e-15
2.993690917999999868e-01 -1.041800020783309379e-15
2.996435791000000015e-01 1.807499911530186139e-15
2.999180907999999812e-01 2.341600083371851845e-16
3.001925780999999960e-01 5.525200150104537383e-16
3.004670897999999757e-01 1.301599954661898650e-15
3.007416016000000192e-01 5.906700083778730018e-16
3.010161132999999989e-01 1.596200025420194037e-15
3.012906249999999786e-01 1.067800014736635349e-15
3.015651367000000138e-01 -6.890799968732170243e-18
3.018396483999999935e-01 -1.077799979832801212e-15
3.021141602000000370e-01 7.090099872903961667e-16
3.023886719000000167e-01 1.452599988773330738e-15
3.026632079999999614e-01 6.282999764552373283e-16
3.029377196999999966e-01 1.012099975158139813e-15
3.032122559000000050e-01 -5.739199847854784160e-16
3.034867920000000052e-01 -1.365199952902079825e-15
3.037613281000000054e-01 1.494000021089585150e-16
3.040358397999999851e-01 9.471799819487812175e-16
3.043103759999999935e-01 1.005200005065136880e-16
3.045849365000000142e-01 1.278599939649510599e-16
3.048594727000000226e-01 1.347199973377333909e-15
3.051340087999999673e-01 1.108499947852204480e-15
3.054085449000000230e-01 1.412499966742654465e-15
3.056831054999999964e-01 1.205700049044069241e-15
3.059576415999999965e-01 2.776900108784289417e-16
3.062322021000000172e-01 -6.965100044504092362e-16
3.065067626999999906e-01 5.238799781792137251e-16
3.067813232000000112e-01 1.253699950327092348e-16
3.070558594000000197e-01 -1.819799994594621054e-17
3.073304199000000403e-01 -1.477900042344649036e-16
3.076049805000000137e-01 1.407699936909682752e-16
3.078795653999999993e-01 3.208300076870212970e-16
3.081541259999999727e-01 -2.858900044918998148e-16
3.084286864999999933e-01 7.669099831911479342e-16
3.087032714999999872e-01 -1.162799947848007064e-16
3.089778320000000078e-01 6.334499897141026778e-16
3.092524170000000017e-01 5.189699928817765630e-16
3.095270019999999955e-01 1.382000004377921618e-15
3.098015625000000162e-01 4.011999877334167372e-16
3.100761474999999545e-01 1.742399976759095208e-16
3.103507323999999956e-01 -1.172599986698841311e-16
3.106253173999999895e-01 9.624800439541540513e-16
3.108999022999999751e-01 6.841900161117138446e-16
3.111745116999999894e-01 3.527499943180463764e-16
3.114490967000000388e-01 -3.693099913626803803e-16
3.117236816000000243e-01 5.231399890206686869e-16
3.119982910000000387e-01 7.978900014787371556e-16
3.122728759999999770e-01 5.191299762296892190e-16
3.125474853999999914e-01 2.270800040382213100e-16
3.128220946999999974e-01 9.626400273020667073e-16
3.130967041000000117e-01 5.971200054525368887e-16
3.133713134999999705e-01 8.116299876139451783e-16
3.136459228999999849e-01 -3.844300059272024719e-16
3.139205321999999909e-01 -1.000399975232165166e-16
3.141951416000000052e-01 1.573299960295581994e-15
3.144697510000000196e-01 1.902099965681115020e-16
3.147443603999999784e-01 2.826199874769102854e-17
3.150189941000000049e-01 3.770899889832111289e-16
3.152936035000000192e-01 -3.396399889373587395e-16
3.155682372999999985e-01 1.177799948431815062e-15
3.158428467000000128e-01 1.609899936309085091e-16
3.161174804999999921e-01 1.615699994415408913e-15
3.163921143000000269e-01 6.387499807441912418e-16
3.166667479999999979e-01 9.095799776619260119e-16
3.169413817999999772e-01 1.611400031658672457e-15
3.172160156000000120e-01 1.570200031466868068e-15
3.174906493999999912e-01 1.732199953068699720e-15
3.177652832000000260e-01 1.311600025637182920e-15
3.180399413999999703e-01 -7.948700113844203545e-16
