name,mean_final_rating,grade,object_type,r_e,r_e_err,objid_lens,objid,ra,dec,g,r,i,z
DELJ075955-070736,0.8333333333333334,A,lens,2.7460084136472553,0.38050648099370815,10689000031396.0,10689000031396.0,119.97917101363552,-7.126924873448062,19.780169,18.438442000000002,17.975437,17.653912
DELJ075955-070736,0.8333333333333334,A,source,,,10689000031396.0,10689000011620.0,119.97988871555765,-7.127198125228888,20.542294000000002,,,
DELJ081502-023202,1.1666666666666667,A,lens,1.935626777422947,0.32687317145150874,10650800013421.0,10650800013421.0,123.75918275061301,-2.533979581128392,20.869816,19.519447,18.989628,18.477276
DELJ081502-023202,1.1666666666666667,A,source,,,10650800013421.0,10650800002492.0,123.75970985297917,-2.533870955163636,22.10294,,,
DELJ081842-272441,1.1666666666666667,A,lens,3.03730325455883,0.2993620659018101,10894000062713.0,10894000062713.0,124.67728165051732,-27.41141486946377,20.12489,18.650343,18.164848000000003,17.808042999999998
DELJ081842-272441,1.1666666666666667,A,source,,,10894000062713.0,10894000029855.0,124.67650686955407,-27.411026071570355,22.400833,,,
DELJ081842-272441,1.1666666666666667,A,source,,,10894000062713.0,10894000029856.0,124.67783620356056,-27.41214929050128,22.973412,,,
DELJ081842-272441,1.1666666666666667,A,source,,,10894000062713.0,10894000029857.0,124.678173098793,-27.41108630638334,22.381923999999998,,,
DELJ084032-093115,1.4166666666666667,A,lens,2.666405167932349,0.3748022481199431,10715000094501.0,10715000094501.0,130.137354002472,-9.521089720430751,18.735891,17.829012,17.427260999999998,17.247017
DELJ084032-093115,1.4166666666666667,A,source,,,10715000094501.0,10715000007249.0,130.13704827781186,-9.521766240338652,20.633259,,,
DELJ090309-324821,1.0833333333333333,A,lens,1.8693885356178455,0.3229948838155093,10945600013954.0,10945600013954.0,135.7896420463463,-32.80598268013165,19.8953,19.213495,19.018701999999998,18.803894
DELJ090309-324821,1.0833333333333333,A,source,,,10945600013954.0,10945600013965.0,135.78974815838973,-32.8064942381511,20.768513000000002,20.367932999999997,,
DELJ091441-000721,0.9166666666666666,A,lens,2.67763430662001,0.375601936629571,10612900048103.0,10612900048103.0,138.6721333047218,-0.12253928207775287,18.808167,18.109977999999998,17.764072,17.619978
DELJ091441-000721,0.9166666666666666,A,source,,,10612900048103.0,nan,138.6714548,-0.122844,,,,
DELJ092003-042652,0.8333333333333334,A,lens,1.2112643791739555,0.2899158049547432,10664100054297.0,10664100054297.0,140.01355963152764,-4.447833342677698,20.437359,19.438412,19.625239999999998,19.146051
DELJ092003-042652,0.8333333333333334,A,source,,,10664100054297.0,10664100032374.0,140.0138944174798,-4.4477909240371085,20.472641,20.312935,19.898594,
DELJ092147-020314,1.9166666666666667,A,lens,3.520534709441835,0.4979855849556992,10625800034281.0,10625800034281.0,140.44747644355812,-2.0539324944827086,21.28238,19.757704,18.644047,18.265743
DELJ092147-020314,1.9166666666666667,A,source,,,10625800034281.0,10625800038071.0,140.44731928785572,-2.0528001678173524,22.796618,22.229881,,
DELJ092147-020314,1.9166666666666667,A,source,,,10625800034281.0,10625800025618.0,140.44809817133577,-2.054596325457624,22.122452,,,
DELJ092147-020314,1.9166666666666667,A,source,,,10625800034281.0,10625800011637.0,140.44835784132349,-2.0539633200790632,21.823296,,,
DELJ092837-202955,0.75,A,lens,3.1104290608675207,0.4702288481414403,10817800131711.0,10817800131711.0,142.15693735508458,-20.498790303119108,21.835817000000002,20.67136,19.554835999999998,19.055323
DELJ092837-202955,0.75,A,source,,,10817800131711.0,10817800070636.0,142.15633107439785,-20.499289043259466,22.127415,21.439484,21.40136,
DELJ092837-202955,0.75,A,source,,,10817800131711.0,10817800053444.0,142.1576580473459,-20.498090667284416,,22.775959,,
DELJ094028-094854,1.25,A,lens,2.3945783070732816,0.355976983366986,10715500122510.0,10715500122510.0,145.11873881131658,-9.815031317744511,20.25544,19.026045,18.605832999999997,18.333754000000003
DELJ094028-094854,1.25,A,source,,,10715500122510.0,10715500029485.0,145.1181723041284,-9.814669607957654,21.539066000000002,,,
DELJ094902-124338,1.6666666666666667,A,lens,1.636565643076566,0.3101016463048627,10741200003845.0,10741200003845.0,147.2604222689579,-12.727411435903162,21.91835,20.24598,19.3858,19.054382
DELJ094902-124338,1.6666666666666667,A,source,,,10741200003845.0,10741200057164.0,147.25995899562614,-12.72746101137558,21.544903,21.511597000000002,,
DELJ095806-332445,1.3333333333333333,A,lens,2.40421288755811,0.35662579279548057,10958900036875.0,10958900036875.0,149.5257254341357,-33.412504873435765,19.356735,17.927359,17.447353,16.999129999999997
DELJ095806-332445,1.3333333333333333,A,source,,,10958900036875.0,10958900118568.0,149.5255619775611,-33.41185112298133,19.497799,19.079807000000002,18.797722,
DELJ100545-070335,1.1666666666666667,A,lens,5.067284068259836,0.6799167642295347,10690100201637.0,10690100201637.0,151.440698146542,-7.0598117261965845,18.140388,17.473873,16.80172,16.815217999999998
DELJ100545-070335,1.1666666666666667,A,source,,,10690100201637.0,10690100063268.0,151.43949570546337,-7.059546914269859,18.6688,18.460138,18.18681,17.856370000000002
DELJ100545-070335,1.1666666666666667,A,source,,,10690100201637.0,10690100108047.0,151.43996525857258,-7.0612963497134436,19.613663,18.96114,19.658865,18.700928
DELJ100545-070335,1.1666666666666667,A,source,,,10690100201637.0,10690100012981.0,151.44137606835216,-7.061139757680564,19.07611,18.927889,18.479187,18.156303
DELJ100545-070335,1.1666666666666667,A,source,,,10690100201637.0,10690100012483.0,151.4419692477893,-7.059919063045697,19.696161,19.18455,,
DELJ101316-355822,2.1666666666666665,A,lens,1.161826183361023,0.28788532578690496,10971800088985.0,10971800088985.0,153.31837586939145,-35.972881808320004,20.446663,19.427677,18.737099,18.475216
DELJ101316-355822,2.1666666666666665,A,source,,,10971800088985.0,10971800088992.0,153.3187342964274,-35.973023272062385,20.424583,20.275475,,
DELJ101318-003906,1.9166666666666667,A,lens,4.956399352001086,0.756499254388256,10613400204377.0,10613400204377.0,153.32746569736798,-0.6518899076272788,21.450470000000003,20.084482,19.568913000000002,19.125774
DELJ101318-003906,1.9166666666666667,A,source,,,10613400204377.0,10613400122832.0,153.32630661770153,-0.652271804135367,22.891748,,22.96355,
DELJ101318-003906,1.9166666666666667,A,source,,,10613400204377.0,10613400000431.0,153.32700903353972,-0.6530593219717673,21.589928,21.153392999999998,21.16724,21.10387
DELJ101318-003906,1.9166666666666667,A,source,,,10613400204377.0,10613400041814.0,153.3278227701143,-0.6535055494954349,23.753853,,,
DELJ101911-283721,1.0833333333333333,A,lens,1.8047738575828167,0.31929867956216734,10907900176534.0,10907900176534.0,154.7964926149916,-28.622710127475546,20.478026999999997,19.25927,18.809137,18.539185999999997
DELJ101911-283721,1.0833333333333333,A,source,,,10907900176534.0,10907900013463.0,154.79602495070387,-28.622997890859523,22.011406,,,
DELJ103331-190726,0.8333333333333334,A,lens,2.474455436303338,0.3647266175463329,10818400058099.0,10818400058099.0,158.38163847424568,-19.12394506674913,21.392585999999998,20.044401,18.462975,17.974705
DELJ103331-190726,0.8333333333333334,A,source,,,10818400058099.0,10818400031790.0,158.38110663496354,-19.124511813640282,21.95351,21.23386,,20.97393
DELJ103331-190726,0.8333333333333334,A,source,,,10818400058099.0,10818400014970.0,158.38191994586256,-19.123388021167127,21.732086,21.038563,,
DELJ103448-274538,2.083333333333333,A,lens,2.8834022985228347,0.34414356846682365,10895200060975.0,10895200060975.0,158.70097079904755,-27.760790874229322,21.869946,20.241142,19.384686,18.836354999999998
DELJ103448-274538,2.083333333333333,A,source,,,10895200060975.0,10895200043114.0,158.7003593009277,-27.760281611390795,22.592371,21.971935000000002,21.638893,
DELJ103448-274538,2.083333333333333,A,source,,,10895200060975.0,10895200084870.0,158.7014337924343,-27.76013465251782,21.439888,21.284748,20.870085,20.619175
DELJ103448-274538,2.083333333333333,A,source,,,10895200060975.0,10895200001022.0,158.70180132200645,-27.760295767256324,22.11715,21.645088,20.612562,
DELJ103827-395903,1.75,A,lens,3.0004727309923167,0.3992592216772018,11010500142093.0,11010500142093.0,159.61623724793077,-39.98431292844386,20.674622,19.004131,18.453491,17.588877
DELJ103827-395903,1.75,A,source,,,11010500142093.0,11010500242635.0,159.61713430196815,-39.983841523881175,,,,18.84885
DELJ103858-354726,1.4166666666666667,A,lens,3.187876671203365,0.26458231779173025,10972000237690.0,10972000237690.0,159.74539761342368,-35.79072991320011,21.616903,19.91791,18.938955,18.684914000000003
DELJ103858-354726,1.4166666666666667,A,source,,,10972000237690.0,10972000009982.0,159.74431522961143,-35.790697554294425,22.115719,21.498773999999997,,
DELJ103858-354726,1.4166666666666667,A,source,,,10972000237690.0,10972000009986.0,159.7460893881742,-35.791423896943535,22.224107999999998,21.363903,20.938179,20.713352
DELJ104329-322759,0.8333333333333334,A,lens,1.9450964697614597,0.3274348221658548,10946500086715.0,10946500086715.0,160.87279685005046,-32.466457206601945,20.160204,18.937927,18.648157,18.413376
DELJ104329-322759,0.8333333333333334,A,source,,,10946500086715.0,10946500002120.0,160.87329911326026,-32.466122014440685,20.988751999999998,,,20.235123
DELJ110828-443923,0.75,A,lens,2.253357848066556,0.26601701844765874,11048300207711.0,11048300207711.0,167.11897982090338,-44.65663136975133,21.504186999999998,20.067234,19.178396,18.858807000000002
DELJ110828-443923,0.75,A,source,,,11048300207711.0,11048300007232.0,167.11884664363038,-44.65602310948896,22.068217999999998,21.134901,,
DELJ110828-443923,0.75,A,source,,,11048300207711.0,11048300007233.0,167.11930355207804,-44.657224508789966,22.904144,22.131145,,
DELJ110836-290907,0.75,A,lens,1.9193198122750643,0.4296729455768147,10921100165133.0,10921100165133.0,167.15020831431124,-29.15194540906421,21.399420000000003,20.238865,19.684551000000003,19.379701999999998
DELJ110836-290907,0.75,A,source,,,10921100165133.0,10921100090705.0,167.15069159974922,-29.152065599573888,21.664558,21.727179,,
DELJ110836-290907,0.75,A,source,,,10921100165133.0,10921100024084.0,167.1507130401406,-29.15149888511668,23.384256,,,
DELJ111638-122604,1.8333333333333333,A,lens,2.3363872940730586,0.3520889317758516,10754800098755.0,10754800098755.0,169.16169809487403,-12.434470267452323,20.397322,18.804832,18.131729999999997,17.860588
DELJ111638-122604,1.8333333333333333,A,source,,,10754800098755.0,10754800001653.0,169.1619134337972,-12.435084250845305,20.60226,20.16124,19.80171,
DELJ111800-153227,0.8333333333333334,A,lens,2.104553237929365,0.33715130625994877,10780400000664.0,10780400000664.0,169.50378387078072,-15.540997944143513,20.742176,19.409952,19.034761,18.69269
DELJ111800-153227,0.8333333333333334,A,source,,,10780400000664.0,nan,169.5040129,-15.5415393,,,,
DELJ111912-154702,0.9166666666666666,A,lens,3.7062404350528997,0.2740624690963135,10780400002371.0,10780400002371.0,169.80371829767805,-15.784142467099311,21.81188,20.071635999999998,19.614017,19.352339
DELJ111912-154702,0.9166666666666666,A,source,,,10780400002371.0,10780400013464.0,169.80269585800434,-15.783774231013837,22.151592,,,
DELJ111912-154702,0.9166666666666666,A,source,,,10780400002371.0,10780400002369.0,169.80291575706718,-15.783493914321367,21.359959,20.849258,20.604668,20.59705
DELJ112831-111838,2.583333333333333,A,lens,4.579786425719462,0.2815726079485977,10729300149909.0,10729300149909.0,172.13273107971057,-11.310748821262038,20.228073000000002,18.675933999999998,18.145706,17.805046
DELJ112831-111838,2.583333333333333,A,source,,,10729300149909.0,10729300028651.0,172.1315126487507,-11.311260712287565,20.861597,,,
DELJ112831-111838,2.583333333333333,A,source,,,10729300149909.0,10729300149917.0,172.13164207162643,-11.310109675872456,20.90028,19.318966,19.454334,
